SpillNumber,ProgramFacilityName,Street1,Street2,Locality,County,ZIPCode,SWISCode,DECRegion,SpillDate,SpillYear,ReceivedDate,ContributingFactor,Waterbody,Source,CloseDate,MaterialName,MaterialFamily,Quantity,Units,Recovered
7380304,CONESUS LAKE,1400 WEST LAKE ROAD,,CONESUS,Livingston,14435,2634,8,3/4/74,1974,3/4/74,Unknown,CONESUS LK.,Unknown,3/5/74,#2 fuel oil,Petroleum,0,Gallons,0
7380129,CONSEUS HOMEOWNER,1165 WEST LAKE RD.,,CONESUS,Livingston,14435,2624,8,1/29/74,1974,1/29/74,Tank Failure,CONESUS LAKE,Private Dwelling,1/30/74,#2 fuel oil,Petroleum,165,Gallons,0
7480628,CONWELL OIL,ROUTE 36,,ARKPORT,Steuben,14807,5140,8,6/28/74,1974,7/1/74,Human Error,,Tank Truck,7/1/74,gasoline,Petroleum,100,Gallons,0
7480513,COUNTY ROUTE 604,COUNTY ROUTE 604,,MILO,Yates,14527,6230,8,5/13/74,1974,5/13/74,Traffic Accident,,Tank Truck,5/13/74,milk,Other,2000,Gallons,0
7481117,CREEK,164 EILEEN DRIVE,,GREECE,Monroe,14616,2828,8,11/17/74,1974,11/17/74,Deliberate,,Unknown,11/17/74,oil based sealer,Petroleum,0,Gallons,0
7480434,DAVIS-HOWLAND,200 ANDERSON AVE.,,ROCHESTER,Monroe,,2814,8,4/12/74,1974,4/12/74,Other,,Tank Truck,4/12/74,waste oil/used oil,Petroleum,200,Gallons,0
7380302,DAVIS-HOWLAND CO.,200 ANDERSON AVE.,,ROCHESTER,Monroe,,2814,8,3/30/74,1974,11/11/11,Human Error,GENESSEE RIVER,Vessel,4/6/74,waste oil/used oil,Petroleum,1000,Gallons,0
7480412,DAVIS-HOWLAND COMPANY,200 ANDERSON AVE.,,ROCHESTER,Monroe,,2814,8,4/12/74,1974,11/11/11,Tank Overfill,,Vessel,4/12/74,waste oil/used oil,Petroleum,250,Gallons,0
7480401,DURAND EASTMAN TUNNEL PRO,DURAND,,ROCHESTER,Monroe,,2814,8,4/1/74,1974,4/1/74,Unknown,,Unknown,4/1/74,waste oil/used oil,Petroleum,110,Gallons,0
7480435,ECOLOGY SHIP PUMPING,S. END OF SENECA LAKE,,WATKINS GLEN,Schuyler,,4928,8,4/12/74,1974,4/12/74,Unknown,SURFACE WATER,Unknown,5/8/74,#2 fuel oil,Petroleum,0,Gallons,0
7380306,"FA MOTORS, INC.",2600 WEST HENRIETTA RD.,,BRIGHTON,Monroe,,2820,8,3/5/74,1974,11/11/11,Unknown,RED CRK. TRIB.,Unknown,3/5/74,waste oil/used oil,Petroleum,0,Gallons,0
7480507,FRUIT LINE INDUSTRIES,UNKNOWN,,SAVONA,Steuben,14879,5126,8,5/7/74,1974,5/7/74,Traffic Accident,,Tank Truck,5/7/74,diesel,Petroleum,50,Gallons,0
7481105,GENESEE RIVER,RG&E EAST SIDE GAS STA.,,ROCHESTER,Monroe,,2814,8,11/4/74,1974,11/4/74,Other,,Gasoline Station or other PBS Facility,11/27/74,#6 fuel oil,Petroleum,500,Gallons,0
7480903,GENESEE RIVER,GENESEE RIVER,,ROCHESTER,Monroe,,2814,8,9/3/74,1974,9/3/74,Deliberate,GENESEE RIVER,Unknown,9/3/74,waste oil/used oil,Petroleum,100,Gallons,0
7480716,GENESEE RIVER,LOWER FALLS GENESEE RIVER,,ROCHESTER,Monroe,,2814,8,7/16/74,1974,7/16/74,Unknown,GENESEE RIVER,Unknown,7/16/74,unknown petroleum,Petroleum,0,Gallons,0
7480908,GENESEE RIVER,145 WADSWORTH AVENUE,,AVON,Livingston,14414,2620,8,9/8/74,1974,9/8/74,Deliberate,GENESEE RIVER,Private Dwelling,9/12/74,#2 fuel oil,Petroleum,30,Gallons,0
7480724,GOULDS PUMP CO,SENECA CAYUGA CANAL,,SENECA FALLS,Seneca,13148,5032,8,7/23/74,1974,7/23/74,Other,SENECA CAYUGA CANAL,Commercial/Industrial,7/23/74,waste oil/used oil,Petroleum,0,Gallons,0
7380222,GREECE TOWN HALL,LONG POND & RIDGE ROAD,,GREECE,Monroe,14626,2828,8,2/21/74,1974,2/21/74,Equipment Failure,,"Institutional, Educational, Gov., Other",2/22/74,gasoline,Petroleum,0,Gallons,0
7840432,GULF OIL TANKS,RT. 96 AND 96A,,OVID,Seneca,,5028,8,4/2/74,1974,11/11/11,Unknown,,Gasoline Station or other PBS Facility,4/2/74,#2 fuel oil,Petroleum,250,Gallons,0
7380219,HAMMONDSPORT JR./SR. HIGH,HAMMONDSPORT JR./SR. HIGH,,URBANA (HAMM),Steuben,,5100,8,2/15/74,1974,11/11/11,Human Error,KEUKA LAKE,Tank Truck,4/15/74,gasoline,Petroleum,150,Gallons,0
7480504,HEARD RESIDENCE,HEARD RESIDENCE,,WALLACE,Steuben,14890,5136,8,5/4/74,1974,5/4/74,Traffic Accident,,Private Dwelling,5/4/74,#2 fuel oil,Petroleum,170,Pounds,0
7481112,HILL EXXON STATION,ROUTE 104,,ONTARIO,Wayne,14519,5934,8,11/12/74,1974,11/12/74,Tank Failure,,Gasoline Station or other PBS Facility,11/12/74,gasoline,Petroleum,384,Gallons,0
7480406,INDEPENDENT PAPER HAULER,ROUTE 450 SOUTHBOUND,,PITTSFORD,Monroe,14534,2846,8,4/6/74,1974,4/6/74,Traffic Accident,,Commercial Vehicle,4/6/74,diesel,Petroleum,85,Gallons,0
7390211,INTERNATIONAL SALT CO.,SENECA LAKE,,READING,Schuyler,,4932,8,2/11/74,1974,2/11/74,Unknown,,Unknown,4/16/74,waste oil/used oil,Petroleum,250,Gallons,0
7380211,INTERNATIONAL SALT CO.,INTERNATIONAL SALT CO.,,READING,Schuyler,14876,4932,8,2/11/74,1974,2/11/74,Unknown,SENECA LAKE,Commercial/Industrial,4/16/74,kerosene,Petroleum,150,Gallons,0
7380221,INTERNATIONAL SALT,INTERNATIONAL SALT,,READING,Schuyler,14876,4932,8,2/19/74,1974,2/20/74,Other,SENECA LAKE,Commercial/Industrial,2/20/74,waste oil/used oil,Petroleum,300,Gallons,0
7480925,IRONDEQUOIT CREEK (TRIB),MARSH RD.,,PERINTON,Monroe,14534,2844,8,9/25/74,1974,9/25/74,Equipment Failure,IRON. CRK. TRIB.,Gasoline Station or other PBS Facility,9/25/74,waste oil/used oil,Petroleum,0,Gallons,0
7480829,IRONDEQUOIT CREEK (TRIB.),21 SCHOEN PLACE,,PITTSFORD,Monroe,14534-2054,2846,8,8/29/74,1974,8/29/74,Traffic Accident,TRIB. IRONDEQUOIT,Commercial/Industrial,8/29/74,#2 fuel oil,Petroleum,7000,Gallons,0
7480924,IRONDEQUOIT CREEK,WOODLAND ROAD,,PITTSFORD,Monroe,14534,2846,8,9/23/74,1974,9/23/74,Deliberate,IRONDEQUIOT CREEK,"Institutional, Educational, Gov., Other",9/23/74,waste oil/used oil,Petroleum,0,Gallons,0
7480708,JEDDO CREEK,TIMMON'S PROPERTY/JEDDO,,RIDGEWAY,Orleans,,3734,8,7/8/74,1974,7/8/74,Deliberate,JEDDO CREEK,Unknown,7/8/74,gasoline,Petroleum,0,Gallons,0
7480623,JONES RESIDENCE,HARPENING AVENUE,,DUNDEE,Yates,,6200,8,5/29/74,1974,6/23/74,Tank Failure,,Gasoline Station or other PBS Facility,7/23/74,gasoline,Petroleum,2000,Gallons,0
7481015,KEUKA LAKE OUTLET,GENEVA MOBIL FUEL TERM.,,MILO,Yates,14527,6230,8,10/15/74,1974,10/18/74,Human Error,,Commercial/Industrial,10/18/74,#2 fuel oil,Petroleum,100,Gallons,0
7480404,MARION FOODS,MARION FOODS,,MARION,Wayne,14505,5932,8,4/4/74,1974,11/11/11,Equipment Failure,,Commercial/Industrial,5/9/74,jet fuel,Petroleum,1000,Gallons,0
7380123,MCMASTER EXXON SERVICE STATION,MCMASTER EXXON SERVICE STATION,,NUNDA,Livingston,14517,2640,8,1/7/74,1974,1/23/74,Other,GROUND WATER,Gasoline Station or other PBS Facility,1/24/74,gasoline,Petroleum,1500,Gallons,200
7480409,"MERCURY AIRCRAFT, INC.","MERCURY AIRCRAFT, INC.",,HAMMONDSPORT,Steuben,,5100,8,4/9/74,1974,4/9/74,Tank Overfill,,Commercial/Industrial,4/9/74,waste oil/used oil,Petroleum,0,Gallons,0
7480920,MOBIL CHEM. - BARGE CANAL,MOBIL CHEMICAL,,MACEDON,Wayne,14502,5930,8,9/20/74,1974,9/20/74,Unknown,BARGE CANAL,Unknown,9/20/74,waste oil/used oil,Petroleum,0,Gallons,0
7481004,MONROE CONTRACTORS SUP.,BARGE CANAL,,MACEDON,Wayne,14502,5930,8,10/4/74,1974,10/4/74,Unknown,,Unknown,10/4/74,waste oil/used oil,Petroleum,500,Gallons,0
7480826,MONTEZUMA SWAMP,HOB BACK HILL RD. CROSSG.,,SAVANNAH,Wayne,13146,5940,8,8/26/74,1974,8/26/74,Traffic Accident,MONTEZUMA SWAMP,Railroad Car,8/26/74,diesel,Petroleum,2500,Gallons,0
7480823,MORELAND CREEK,MORELAND CREEK,,MONTOUR,Schuyler,14865,4928,8,8/23/74,1974,8/23/74,Tank Overfill,MORELAND CREEK,Commercial/Industrial,8/23/74,waste oil/used oil,Petroleum,50,Gallons,0
7480730,NYS THRUWAY,NYS THRUWAY MM 734,,HENRIETTA,Monroe,14467,2832,8,7/30/74,1974,7/30/74,Traffic Accident,,Tank Truck,7/30/74,waste oil/used oil,Petroleum,225,Gallons,0
7480415,PENN CENT. TRAIN DERAIL.,,,DRESDEN,Yates,,6200,8,4/13/74,1974,11/11/11,Traffic Accident,SENECA LAKE.,Railroad Car,4/13/74,unknown material,Other,40,Pounds,0
7480927,PENN YAN SOLDIERS AND SAILORS,MEMORIAL HOSPITAL AND NURSING HOME,,PENN YAN,Yates,14527,6228,8,9/27/74,1974,9/27/74,Unknown,,"Institutional, Educational, Gov., Other",9/27/74,#2 fuel oil,Petroleum,1900,Gallons,0
7480517,PH METAL FABRICATORS,PH METAL FABRICATORS,,GREECE,Monroe,14603,2828,8,5/17/74,1974,5/17/74,Unknown,TOW. LAKE ONTARIO,Unknown,5/17/74,ferric chloride,Hazardous Material,0,,0
7480517,PH METAL FABRICATORS,PH METAL FABRICATORS,,GREECE,Monroe,14603,2828,8,5/17/74,1974,5/17/74,Unknown,TOW. LAKE ONTARIO,Unknown,5/17/74,gasoline,Petroleum,0,Gallons,0
7481107,PHILIPS & POWERS TEXACO,ROUTE 21,,PALMYRA,Wayne,14522,5936,8,11/7/74,1974,11/7/74,Traffic Accident,,Gasoline Station or other PBS Facility,11/7/74,gasoline,Petroleum,0,Gallons,0
7480815,PINE CITY PETROLEUM CO,PINE CITY PETROLEUM CO,,SOUTHPORT,Chemung,,836,8,8/15/74,1974,8/15/74,Equipment Failure,,Tank Truck,8/26/98,#2 fuel oil,Petroleum,0,Gallons,0
7481127,RED CREEK,ENGLONSON & VANLARE FUEL,,RED CREEK,Wayne,13143,5942,8,11/27/74,1974,11/27/74,Traffic Accident,,Tank Truck,11/27/74,gasoline,Petroleum,2600,Gallons,0
7380204,REYNOLD'S RESIDENCE,HENDY CREEK ROAD,,CORNING,Steuben,14830,5138,8,2/4/74,1974,2/4/74,Equipment Failure,CHEMUNG RIVER,Tank Truck,2/6/74,#2 fuel oil,Petroleum,100,Gallons,0
7480620,ROCHESTER INTERNATIONAL AIRPORT,1200 BROOKS AVENUE,,ROCHESTER,Monroe,14624,2814,8,6/20/74,1974,6/21/74,Other,,Tank Truck,6/21/74,kerosene,Petroleum,100,Gallons,0
7481214,SALMON CREEK,UNKNOWN,,HILTON,Monroe,14468,2840,8,12/14/74,1974,12/14/74,Unknown,,Unknown,12/14/74,waste oil/used oil,Petroleum,0,Gallons,0
7481101,SALMON CREEK,SOUTH AVENUE,,HILTON,Monroe,14468,2828,8,11/1/74,1974,11/1/74,Deliberate,,Gasoline Station or other PBS Facility,11/14/74,gasoline,Petroleum,0,Gallons,0
7480508,SENECA CANAL,ROUTE 5 & ROUTE 20,,WATERLOO,Seneca,13165,5038,8,5/8/74,1974,5/8/74,Unknown,SENECA CANAL,Unknown,5/8/74,waste oil/used oil,Petroleum,0,Gallons,0
7480433,SENECA CT. GARAGE,SENECA CT. GARAGE,,ROMULUS,Seneca,14541,5030,8,4/2/74,1974,4/2/74,Unknown,,"Non Major Facility > 1,100 gal",4/3/74,#2 fuel oil,Petroleum,0,Gallons,0
7481231,SENECA LAKE,WATKINS SALT CO.,,WATKINS GLEN,Schuyler,14891,4928,8,12/31/74,1974,12/31/74,Unknown,,Unknown,1/29/75,oil based sealer,Petroleum,0,,0
7481231,SENECA LAKE,WATKINS SALT CO.,,WATKINS GLEN,Schuyler,14891,4928,8,12/31/74,1974,12/31/74,Unknown,,Unknown,1/29/75,unknown petroleum,Petroleum,0,Gallons,0
7481009,SENECA-CAYUGA CANAL,TEXACO,,WATERLOO,Seneca,13165,5038,8,10/9/74,1974,10/9/74,Equipment Failure,SENECA-CAYUGA CANAL,Gasoline Station or other PBS Facility,10/9/74,gasoline,Petroleum,30,Gallons,0
7480516,SHIPBUILDERS CREEK,CRESCENT RESIDENCE,,WEBSTER,Monroe,14580,2854,8,5/16/74,1974,5/17/74,Tank Failure,SHIPBUILDERS CREEK,Private Dwelling,5/17/74,#2 fuel oil,Petroleum,0,Gallons,0
7380218,SKI VALLEY INC.,SKI VALLEY,,SOUTH BRISTOL,Ontario,,3546,8,2/18/74,1974,2/18/74,Equipment Failure,TRIB. OF MUD CREEK,"Non Major Facility > 1,100 gal",2/18/74,diesel,Petroleum,50,Gallons,0
7380305,STREAM TRIB. TO LK. ONT.,ROUTE 308,,SODUS,Wayne,14551,5942,8,3/5/74,1974,3/5/74,Traffic Accident,LK. ONT. TRIB.,Tank Truck,3/5/74,diesel,Petroleum,100,Gallons,0
7481108,STRONG ESTATE/ALLENS CRK,700 ALLENS CREEK ROAD,,BRIGHTON,Monroe,,2820,8,11/8/74,1974,11/8/74,Equipment Failure,,Tank Truck,11/8/74,gasoline,Petroleum,120,Gallons,0
7481220,STUART-OLIVER HOLTZ MFG.,COMMERCE DRIVE,,HENRIETTA,Monroe,14623,2832,8,12/20/74,1974,12/20/74,Other,,"Non Major Facility > 1,100 gal",12/20/74,chromic acid,Hazardous Material,0,Gallons,0
7480801,SUNOCO STATION,LAKE STREET,,PENN YAN,Yates,14527,6228,8,8/17/74,1974,8/17/74,Unknown,,Gasoline Station or other PBS Facility,8/26/98,gasoline,Petroleum,0,Gallons,0
7480907,TEXACO ROCH TERMINAL,MCKEE ROAD,,ROCHESTER,Monroe,,2814,8,9/6/74,1974,9/6/74,Tank Overfill,,Gasoline Station or other PBS Facility,9/6/74,gasoline,Petroleum,20,Gallons,0
7480720,TEXACO ROCH TERMINAL,MCKEE ROAD,,ROCHESTER,Monroe,,2814,8,7/20/74,1974,7/22/74,Tank Overfill,,Tank Truck,7/22/74,gasoline,Petroleum,50,Gallons,0
7481001,TEXACO,RT 15A NORTH OF 5 POINTS RDAD,`,MENDON,Monroe,,2836,8,10/1/74,1974,10/1/74,Traffic Accident,,Tank Truck,10/1/74,gasoline,Petroleum,20,Gallons,0
7481012,TRIB OF HONEOYE CREEK,1923 LAKE AVE,,LIMA,Livingston,14485,2632,8,10/12/74,1974,10/12/74,Traffic Accident,,Tank Truck,10/12/74,gasoline,Petroleum,80,Gallons,0
7480518,TRIB OF TONAWANDA CREEK,TRIB OF TONAWANDA CREEK,,ALEXANDER,Genesee,14005,1922,8,5/17/74,1974,5/20/74,Tank Overfill,TRIB OF TONAWANDA,Commercial/Industrial,6/7/74,molasses,Other,400,Gallons,0
7480627,TRIB. IRONDEQUOIT CREEK,KREAG ROAD,,PERINTON,Monroe,14534,2844,8,6/27/74,1974,6/27/74,Tank Failure,,Tank Truck,6/28/74,#2 fuel oil,Petroleum,300,Gallons,0
7480713,TRIB. KEUKA OUTLET,AL BLADES & SON,,PENN YAN,Yates,14527,6228,8,7/13/74,1974,7/13/74,Vandalism,TRIB. OF KEUKA OUT.,Commercial/Industrial,7/14/74,unknown petroleum,Petroleum,17000,Gallons,0
7480613,TRIB. OF LAKE ONTARIO,1755 GRANT ROAD,,HAMLIN,Monroe,14464,2830,8,6/13/74,1974,6/19/74,Tank Failure,TRIB. OF LAKE ONTAR.,Unknown,6/19/74,#2 fuel oil,Petroleum,700,Gallons,0
7480614,TRIB. OF ONTARIO 129A,1755 GERMAN CHURCH ROAD,,HAMLIN,Monroe,14464,2830,8,6/13/74,1974,6/19/74,Tank Failure,TRIB. OF ONTARIO129A,Private Dwelling,6/21/74,#2 fuel oil,Petroleum,700,Gallons,0
7480723,TRIB. TO COHOCTON RIVER,ROUTE 415 W.OF PAINT POST,,ERWIN,Steuben,14830,5142,8,7/23/74,1974,7/23/74,Equipment Failure,TRIB. TO COHOCTON R.,Unknown,7/23/74,waste oil/used oil,Petroleum,0,Gallons,0
7380319,TRIB. TO MUDD CREEK.,Route 5 & Route 20,,East Bloomfield,Ontario,14443,3526,8,3/19/74,1974,3/19/74,Traffic Accident,MUD CREEK,Tank Truck,3/19/74,diesel,Petroleum,40,Gallons,0
7480408,TRIBUTARY OF RED CREEK,MAIN STREET FUEL STORAGE,,MARION,Wayne,14505,5932,8,4/3/74,1974,4/8/74,Unknown,,Tank Truck,5/21/74,#2 fuel oil,Petroleum,650,Gallons,0
7481024,UNKNOWN,RT 21 JUST NORTH OF HILL CUMORAH,,MANCHESTER,Ontario,14504,3536,8,10/24/74,1974,10/24/74,Unknown,LAND,Unknown,10/24/74,gasoline,Petroleum,0,Gallons,0
7481104,UNKNOWN,JEFFERSON RD,,PITTSFORD,Monroe,14534,2846,8,11/1/74,1974,11/1/74,Traffic Accident,,Tank Truck,11/4/74,gasoline,Petroleum,30,Gallons,0
7480725,UNKNOWN,SENECA LAKE,,WATERLOO,Seneca,,5038,8,7/25/74,1974,7/25/75,Unknown,,Unknown,7/25/75,unknown petroleum,Petroleum,0,Gallons,0
7481016,URBAN RENEWAL PROJECT,URBAN RENEWAL PROJECT,,NEWARK (V),Wayne,14513,5920,8,10/16/74,1974,10/16/74,Other,,Gasoline Station or other PBS Facility,10/24/74,gasoline,Petroleum,0,Gallons,0
9905530,VARIOUS LOCAIONS,CITY AND WESTCHESTER,,NEW YORK,New York,,3101,2,1/1/74,1974,8/6/99,Other,,Commercial/Industrial,11/2/04,refrigerant,Other,0,Gallons,0
7480706,WANETA LAKE,EAST LAKE ROAD,,WAYNE,Steuben,14893,5176,8,7/6/74,1974,7/9/74,Other,WANETA LAKE,Unknown,7/9/74,waste oil/used oil,Petroleum,0,Gallons,0
7380214,WATERLOO BOOSTER STATION,ROUTE 414,3 MI N OF 5 & 20,WATERLOO,Seneca,13165,5038,8,2/13/74,1974,2/14/74,Equipment Failure,,Gasoline Station or other PBS Facility,2/14/74,#2 fuel oil,Petroleum,150,Gallons,0
7480719,WATKINS GLEN CANAL,WATKINS GLEN YACHT CLUB,,WATKINS GLEN,Schuyler,14891,4928,8,7/19/74,1974,7/19/74,Tank Overfill,WATKINS. G. CANAL,Vessel,7/19/74,gasoline,Petroleum,25,Gallons,0
7481114,WELLER MOTOR GENESEE RIV,STUTSON   AND THOMAS AVENUE,,IRONDEQUOIT,Monroe,,2834,8,11/14/74,1974,11/14/74,Tank Failure,,Gasoline Station or other PBS Facility,11/14/74,gasoline,Petroleum,2200,Gallons,0
7580808,;HONEOYE CREEK,HONEOYE CREEK,,HONEOYE FALLS,Monroe,14472,2836,8,8/8/75,1975,8/8/75,Deliberate,HONEOYE CREEK,Unknown,8/15/75,waste oil/used oil,Petroleum,10,Gallons,0
7581019,553 WEST LAKE RD.,553 WEST LAKE RD.,,GENESEO,Livingston,14454,2626,8,10/19/75,1975,10/19/75,Deliberate,SEWER,Commercial Vehicle,10/28/75,diesel,Petroleum,5,Gallons,0
7580322,AGWAY STORE,ROUTE 36,,CHURCHVILLE,Monroe,14428,2848,8,3/19/75,1975,3/19/75,Equipment Failure,,Tank Truck,3/19/75,hydraulic oil,Petroleum,5,Gallons,0
7580325,AL TURNER INC.,HARD RD. SOUTH OF KLEM ROAD,,WEBSTER,Monroe,14580,2854,8,3/25/75,1975,3/26/75,Unknown,,Unknown,3/26/75,waste oil/used oil,Petroleum,0,Gallons,0
7580803,AMLYN PLYMOUTH DEALERSHIP,WEST MAIN ST,,HONEOYE FALLS,Monroe,14472,2836,8,3/8/75,1975,3/8/75,Equipment Failure,SEWAR TREATAM. PLAN,Gasoline Station or other PBS Facility,8/4/75,gasoline,Petroleum,2000,Gallons,0
7580321,"ARTHUR V. TOWNER , INC.",1909 SCOTTSVILLE RD.,,CHILI,Monroe,14623,2822,8,3/19/75,1975,3/19/75,Other,GENESEE RIVER,Unknown,3/19/75,unknown material,Other,0,Gallons,0
